Z, A, Symbol, mass, mass_unc, estimated_flag
 80, 190, Hg, 189.9663221690, 1.707600e-05,  
 81, 190, Tl, 189.9738355510, 8.532000e-06,  
 82, 190, Pb, 189.9780818280, 1.343400e-05,  
 83, 190, Bi, 189.9886208830, 2.422100e-05,  
 84, 190, Po, 189.9951005190, 1.445500e-05,  
 73, 191, Ta, 190.9715600000, 3.200000e-04, #
 74, 191, W , 190.9665310000, 4.500000e-05,  
 75, 191, Re, 190.9631234370, 1.101900e-05,  
 76, 191, Os, 190.9609281590, 7.070000e-07,  
 77, 191, Ir, 190.9605915270, 1.406000e-06,  
 78, 191, Pt, 190.9616763630, 4.430000e-06,  
 79, 191, Au, 190.9637164550, 5.288000e-06,  
 80, 191, Hg, 190.9671582470, 2.391800e-05,  
 81, 191, Tl, 190.9717840960, 7.889000e-06,  
 82, 191, Pb, 190.9782810000, 4.000000e-05,  
 83, 191, Bi, 190.9857869750, 8.037000e-06,  
 84, 191, Po, 190.9945584880, 7.624000e-06,  
 85, 191, At, 191.0041480860, 1.728700e-05,  
 73, 192, Ta, 191.9752400000, 4.300000e-04, #
 74, 192, W , 191.9681700000, 2.100000e-04, #
 75, 192, Re, 191.9660880000, 7.600000e-05,  
 76, 192, Os, 191.9614788810, 2.485000e-06,  
 77, 192, Ir, 191.9626024850, 1.410000e-06,  
 78, 192, Pt, 191.9610427360, 2.758000e-06,  
 79, 192, Au, 191.9648176840, 1.699100e-05,  
 80, 192, Hg, 191.9656341820, 1.667900e-05,  
 81, 192, Tl, 191.9722250000, 3.400000e-05,  
 82, 192, Pb, 191.9757851150, 1.427300e-05,  
 83, 192, Bi, 191.9854700780, 3.232600e-05,  
 84, 192, Po, 191.9913357880, 1.192600e-05,  
 85, 192, At, 192.0031410340, 2.992600e-05,  
 73, 193, Ta, 192.9775950000, 4.300000e-04, #
 74, 193, W , 192.9717800000, 2.100000e-04, #
 75, 193, Re, 192.9675450000, 4.200000e-05,  
 76, 193, Os, 192.9641497530, 2.491000e-06,  
 77, 193, Ir, 192.9629238240, 1.425000e-06,  
 78, 193, Pt, 192.9629846160, 1.458000e-06,  
 79, 193, Au, 192.9641384470, 9.311000e-06,  
 80, 193, Hg, 192.9666533770, 1.664500e-05,  
 81, 193, Tl, 192.9705019970, 7.200000e-06,  
 82, 193, Pb, 192.9761732340, 5.322200e-05,  
 83, 193, Bi, 192.9829472230, 8.132000e-06,  
 84, 193, Po, 192.9910624030, 1.559900e-05,  
 85, 193, At, 192.9999277280, 2.322200e-05,  
 86, 193, Rn, 193.0097079640, 2.695800e-05,  
 73, 194, Ta, 193.9814280000, 5.400000e-04, #
 74, 194, W , 193.9736700000, 3.200000e-04, #
 75, 194, Re, 193.9707600000, 2.100000e-04, #
 76, 194, Os, 193.9651794770, 2.579000e-06,  
 77, 194, Ir, 193.9650757730, 1.430000e-06,  
 78, 194, Pt, 193.9626835270, 5.320000e-07,  
 79, 194, Au, 193.9654190620, 2.273000e-06,  
 80, 194, Hg, 193.9654491110, 3.100000e-06,  
 81, 194, Tl, 193.9710814110, 1.500000e-05,  
 82, 194, Pb, 193.9740117060, 1.871700e-05,  
 83, 194, Bi, 193.9827923620, 6.632000e-06,  
 84, 194, Po, 193.9881860150, 1.386000e-05,  
 85, 194, At, 193.9992268720, 2.676400e-05,  
 86, 194, Rn, 194.0061444240, 1.814100e-05,  
 74, 195, W , 194.9774450000, 3.200000e-04, #
 75, 195, Re, 194.9725400000, 3.200000e-04, #
 76, 195, Os, 194.9683180000, 6.000000e-05,  
 77, 195, Ir, 194.9659769670, 1.431000e-06,  
 78, 195, Pt, 194.9647943530, 5.390000e-07,  
 79, 195, Au, 194.9650378510, 1.201000e-06,  
 80, 195, Hg, 194.9667057510, 2.484300e-05,  
 81, 195, Tl, 194.9697740960, 1.190900e-05,  
 82, 195, Pb, 194.9745487430, 1.928000e-05,  
 83, 195, Bi, 194.9806487620, 5.675000e-06,  
 84, 195, Po, 194.9881306170, 4.011200e-05,  
 85, 195, At, 194.9962744850, 1.027600e-05,  
 86, 195, Rn, 195.0054216990, 5.421600e-05,  
 74, 196, W , 195.9797310000, 4.300000e-04, #
 75, 196, Re, 195.9758000000, 3.200000e-04, #
 76, 196, Os, 195.9696432770, 4.300000e-05,  
 77, 196, Ir, 195.9683996960, 4.123900e-05,  
 78, 196, Pt, 195.9649546750, 5.470000e-07,  
 79, 196, Au, 195.9665712210, 3.179000e-06,  
 80, 196, Hg, 195.9658334440, 3.163000e-06,  
 81, 196, Tl, 195.9704811920, 1.300000e-05,  
 82, 196, Pb, 195.9727874660, 8.277000e-06,  
 83, 196, Bi, 195.9806665090, 2.622400e-05,  
 84, 196, Po, 195.9855360940, 1.450600e-05,  
 85, 196, At, 195.9957974210, 3.251100e-05,  
 86, 196, Rn, 196.0021159450, 1.547600e-05,  
 74, 197, W , 196.9837470000, 4.300000e-04, #
 75, 197, Re, 196.9779900000, 3.200000e-04, #
 76, 197, Os, 196.9728300000, 2.100000e-04, #
 77, 197, Ir, 196.9696572330, 2.158800e-05,  
 78, 197, Pt, 196.9673430530, 5.750000e-07,  
 79, 197, Au, 196.9665701140, 5.810000e-07,  
 80, 197, Hg, 196.9672137130, 3.442000e-06,  
 81, 197, Tl, 196.9695739860, 1.752600e-05,  
 82, 197, Pb, 196.9734347170, 5.157000e-06,  
 83, 197, Bi, 196.9788649290, 8.946000e-06,  
 84, 197, Po, 196.9856596070, 5.333200e-05,  
 85, 197, At, 196.9931773570, 8.570000e-06,  
 86, 197, Rn, 197.0016214300, 1.738300e-05,  
 87, 197, Fr, 197.0110080900, 5.840400e-05,  
 75, 198, Re, 197.9816000000, 4.300000e-04, #
 76, 198, Os, 197.9744100000, 2.100000e-04, #
 77, 198, Ir, 197.9722800000, 2.100000e-04, #
 78, 198, Pt, 197.9678967340, 2.254000e-06,  
 79, 198, Au, 197.9682437240, 5.790000e-07,  
 80, 198, Hg, 197.9667691790, 4.910000e-07,  
 81, 198, Tl, 197.9704466730, 8.100000e-06,  
 82, 198, Pb, 197.9720153970, 9.393000e-06,  
 83, 198, Bi, 197.9792060000, 3.000000e-05,  
 84, 198, Po, 197.9833886720, 1.870500e-05,  
 85, 198, At, 197.9927916730, 6.300000e-06,  
 86, 198, Rn, 197.9986791560, 1.440600e-05,  
 87, 198, Fr, 198.0102781380, 3.459100e-05,  
 75, 199, Re, 198.9840470000, 4.300000e-04, #
 76, 199, Os, 198.9780100000, 2.100000e-04, #
 77, 199, Ir, 198.9738071150, 4.407300e-05,  
 78, 199, Pt, 198.9705970380, 2.317000e-06,  
 79, 199, Au, 198.9687665820, 5.810000e-07,  
 80, 199, Hg, 198.9682809890, 5.640000e-07,  
 81, 199, Tl, 198.9698770000, 3.000000e-05,  
 82, 199, Pb, 198.9729125420, 1.073000e-05,  
 83, 199, Bi, 198.9776728930, 1.134500e-05,  
 84, 199, Po, 198.9836730210, 1.938700e-05,  
 85, 199, At, 198.9905277190, 5.780000e-06,  
 86, 199, Rn, 198.9983902730, 4.035200e-05,  
 87, 199, Fr, 199.0072693890, 1.473400e-05,  
 76, 200, Os, 199.9798400000, 3.200000e-04, #
 77, 200, Ir, 199.9768000000, 2.100000e-04, #
 78, 200, Pt, 199.9714446250, 2.158800e-05,  
 79, 200, Au, 199.9707565560, 2.868100e-05,  
 80, 200, Hg, 199.9683269340, 5.680000e-07,  
 81, 200, Tl, 199.9709636020, 6.182000e-06,  
 82, 200, Pb, 199.9718183320, 1.173000e-05,  
 83, 200, Bi, 199.9781310930, 2.396200e-05,  
 84, 200, Po, 199.9818122700, 8.135000e-06,  
 85, 200, At, 199.9903511000, 2.626400e-05,  
 86, 200, Rn, 199.9957007070, 1.468600e-05,  
 87, 200, Fr, 200.0065835070, 3.286100e-05,  
 76, 201, Os, 200.9836400000, 3.200000e-04, #
 77, 201, Ir, 200.9786400000, 2.100000e-04, #
 78, 201, Pt, 200.9745132930, 5.378800e-05,  
 79, 201, Au, 200.9716576650, 3.454000e-06,  
 80, 201, Hg, 200.9703030380, 7.630000e-07,  
 81, 201, Tl, 200.9708201680, 1.522800e-05,  
 82, 201, Pb, 200.9728704250, 1.475800e-05,  
 83, 201, Bi, 200.9770085120, 1.629900e-05,  
 84, 201, Po, 200.9822637770, 5.305000e-06,  
 85, 201, At, 200.9884170610, 8.786000e-06,  
 86, 201, Rn, 200.9956281790, 5.338900e-05,  
 87, 201, Fr, 201.0038524960, 9.747000e-06,  
 88, 201, Ra, 201.0128146830, 2.179400e-05,  
 76, 202, Os, 201.9859500000, 4.300000e-04, #
 77, 202, Ir, 201.9819900000, 3.200000e-04, #
 78, 202, Pt, 201.9756390000, 2.700000e-05,  
 79, 202, Au, 201.9738560000, 2.500000e-05,  
 80, 202, Hg, 201.9706435850, 7.560000e-07,  
 81, 202, Tl, 201.9721090890, 1.723000e-06,  
 82, 202, Pb, 201.9721516040, 4.075000e-06,  
 83, 202, Bi, 201.9777331000, 1.652800e-05,  
 84, 202, Po, 201.9807388810, 9.307000e-06,  
 85, 202, At, 201.9886303800, 3.003400e-05,  
 86, 202, Rn, 201.9932639020, 1.880800e-05,  
 87, 202, Fr, 202.0033239460, 7.557000e-06,  
 88, 202, Ra, 202.0097422640, 1.612200e-05,  
 76, 203, Os, 202.9917980000, 4.300000e-04, #
 77, 203, Ir, 202.9842300000, 4.300000e-04, #
 78, 203, Pt, 202.9789300000, 2.100000e-04, #
 79, 203, Au, 202.9751544980, 3.309000e-06,  
 80, 203, Hg, 202.9728723260, 1.746000e-06,  
 81, 203, Tl, 202.9723440220, 1.252000e-06,  
 82, 203, Pb, 202.9733905350, 7.036000e-06,  
 83, 203, Bi, 202.9768921450, 1.371700e-05,  
 84, 203, Po, 202.9814159950, 9.291000e-06,  
 85, 203, At, 202.9869429570, 1.135300e-05,  
 86, 203, Rn, 202.9933937320, 1.951600e-05,  
 87, 203, Fr, 203.0009408720, 6.689000e-06,  
 88, 203, Ra, 203.0092987450, 4.092800e-05,  
 77, 204, Ir, 203.9896000000, 4.300000e-04, #
 78, 204, Pt, 203.9807600000, 2.100000e-04, #
 79, 204, Au, 203.9778310000, 2.150000e-04, #
 80, 204, Hg, 203.9734940370, 5.340000e-07,  
 81, 204, Tl, 203.9738633370, 1.236000e-06,  
 82, 204, Pb, 203.9730434200, 1.230000e-06,  
 83, 204, Bi, 203.9778357170, 9.854000e-06,  
 84, 204, Po, 203.9803098630, 1.182200e-05,  
 85, 204, At, 203.9872511970, 2.392600e-05,  
 86, 204, Rn, 203.9914436440, 7.991000e-06,  
 87, 204, Fr, 204.0006519740, 2.638900e-05,  
 88, 204, Ra, 204.0065022280, 1.639600e-05,  
 77, 205, Ir, 204.9936020000, 5.400000e-04, #
 78, 205, Pt, 204.9860800000, 3.200000e-04, #
 79, 205, Au, 204.9798500000, 2.100000e-04, #
 80, 205, Hg, 204.9760731250, 3.923000e-06,  
 81, 205, Tl, 204.9744272370, 1.328000e-06,  
 82, 205, Pb, 204.9744815970, 1.228000e-06,  
 83, 205, Bi, 204.9773863230, 5.487000e-06,  
 84, 205, Po, 204.9811900040, 1.079800e-05,  
 85, 205, At, 204.9860740410, 1.619400e-05,  
 86, 205, Rn, 204.9917232040, 5.453000e-06,  
 87, 205, Fr, 204.9985938580, 8.399000e-06,  
 88, 205, Ra, 205.0062684150, 7.570700e-05,  
 89, 205, Ac, 205.0151441580, 5.455500e-05,  
 78, 206, Pt, 205.9896600000, 3.200000e-04, #
 79, 206, Au, 205.9847400000, 3.200000e-04, #
 80, 206, Hg, 205.9775137560, 2.194300e-05,  
 81, 206, Tl, 205.9761100260, 1.378000e-06,  
 82, 206, Pb, 205.9744651240, 1.227000e-06,  
 83, 206, Bi, 205.9784987570, 8.193000e-06,  
 84, 206, Po, 205.9804736540, 4.306000e-06,  
 85, 206, At, 205.9866561480, 1.616200e-05,  
 86, 206, Rn, 205.9901953580, 9.223000e-06,  
 87, 206, Fr, 205.9986662110, 3.026800e-05,  
 88, 206, Ra, 206.0038277630, 1.933200e-05,  
 89, 206, Ac, 206.0144707870, 5.420600e-05,  
 78, 207, Pt, 206.9951260000, 4.300000e-04, #
 79, 207, Au, 206.9883950000, 3.220000e-04, #
 80, 207, Hg, 206.9823000000, 3.200000e-05,  
 81, 207, Tl, 206.9774185860, 5.839000e-06,  
 82, 207, Pb, 206.9758967350, 1.230000e-06,  
 83, 207, Bi, 206.9784704710, 2.573000e-06,  
 84, 207, Po, 206.9815932520, 7.148000e-06,  
 85, 207, At, 206.9857997830, 1.331800e-05,  
 86, 207, Rn, 206.9907302000, 9.121000e-06,  
 87, 207, Fr, 206.9969464740, 1.879200e-05,  
 88, 207, Ra, 207.0038051610, 5.711500e-05,  
 89, 207, Ac, 207.0119659730, 5.409200e-05,  
 78, 208, Pt, 207.9989370000, 4.290000e-04, #
 79, 208, Au, 207.9934500000, 3.200000e-04, #
 80, 208, Hg, 207.9857590000, 3.300000e-05,  
 81, 208, Tl, 207.9820179920, 1.990000e-06,  
 82, 208, Pb, 207.9766519180, 1.231000e-06,  
 83, 208, Bi, 207.9797419810, 2.473000e-06,  
 84, 208, Po, 207.9812456160, 1.864000e-06,  
 85, 208, At, 207.9866130420, 9.577000e-06,  
 86, 208, Rn, 207.9896342950, 1.195700e-05,  
 87, 208, Fr, 207.9971380180, 1.270400e-05,  
 88, 208, Ra, 208.0018549290, 9.686000e-06,  
 89, 208, Ac, 208.0115440730, 5.981300e-05,  
 90, 208, Th, 208.0179107220, 3.670400e-05,  
 79, 209, Au, 208.9972730000, 4.290000e-04, #
 80, 209, Hg, 208.9907200000, 1.600000e-04, #
 81, 209, Tl, 208.9853517500, 6.559000e-06,  
 82, 209, Pb, 208.9810898980, 1.875000e-06,  
 83, 209, Bi, 208.9803985190, 1.464000e-06,  
 84, 209, Po, 208.9824302760, 1.908000e-06,  
 85, 209, At, 208.9861699440, 5.477000e-06,  
 86, 209, Rn, 208.9904013880, 1.069200e-05,  
 87, 209, Fr, 208.9959531970, 1.572500e-05,  
 88, 209, Ra, 209.0019948790, 6.169000e-06,  
 89, 209, Ac, 209.0094942200, 5.433000e-05,  
 90, 209, Th, 209.0175710000, 1.500000e-04, #
 79, 210, Au, 210.0025000000, 4.300000e-04, #
 80, 210, Hg, 209.9942400000, 2.100000e-04, #
 81, 210, Tl, 209.9900729700, 1.245600e-05,  
 82, 210, Pb, 209.9841883010, 1.553000e-06,  
 83, 210, Bi, 209.9841201560, 1.462000e-06,  
 84, 210, Po, 209.9828736010, 1.230000e-06,  
 85, 210, At, 209.9871473380, 8.261000e-06,  
 86, 210, Rn, 209.9896888540, 4.892000e-06,  
 87, 210, Fr, 209.9964216570, 1.626800e-05,  
 88, 210, Ra, 210.0004753560, 9.868000e-06,  
 89, 210, Ac, 210.0094361300, 6.162300e-05,  
 90, 210, Th, 210.0150934370, 2.029900e-05,  
 80, 211, Hg, 210.9993300000, 2.100000e-04, #
 81, 211, Tl, 210.9934750000, 4.500000e-05,  
 82, 211, Pb, 210.9887353560, 2.426000e-06,  
 83, 211, Bi, 210.9872686980, 5.842000e-06,  
